1208.850 1254.540 2015-01-07 00:00:00	 1221.900 2015-01-08 00:00:00 13.050
1256.150 1254.000 2015-01-09 00:00:00	 1254.850 2015-01-12 00:00:00 -1.300
1248.950 1253.190 2015-01-13 00:00:00	 1260.980 2015-01-14 00:00:00 12.030
1269.550 1255.910 2015-01-15 00:00:00	 1266.080 2015-01-16 00:00:00 -3.470
1255.500 1255.560 2015-01-19 00:00:00	 1250.230 2015-01-20 00:00:00 -5.270
1256.900 1252.360 2015-01-21 00:00:00	 1256.780 2015-01-22 00:00:00 -0.120
1251.800 1248.700 2015-01-23 00:00:00	 1251.030 2015-01-27 00:00:00 -0.770
1269.800 1255.040 2015-01-28 00:00:00	 1272.330 2015-01-29 00:00:00 2.530
1241.030 1257.560 2015-01-30 00:00:00	 1257.100 2015-02-02 00:00:00 16.070
1279.130 1259.870 2015-02-03 00:00:00	 1257.150 2015-02-04 00:00:00 -21.980
1276.200 1260.080 2015-02-05 00:00:00	 1287.880 2015-02-06 00:00:00 11.680
1256.450 1261.700 2015-02-09 00:00:00	 1220.580 2015-02-10 00:00:00 -35.870
1229.950 1257.660 2015-02-11 00:00:00	 1231.080 2015-02-12 00:00:00 1.130
1269.380 1257.080 2015-02-13 00:00:00	 1292.400 2015-02-16 00:00:00 23.020
1317.830 1263.460 2015-02-18 00:00:00	 1340.530 2015-02-19 00:00:00 22.700
1337.780 1275.250 2015-02-20 00:00:00	 1348.330 2015-02-23 00:00:00 10.550
1352.380 1286.990 2015-02-24 00:00:00	 1336.100 2015-02-25 00:00:00 -16.280
1328.230 1296.350 2015-02-26 00:00:00	 1331.180 2015-02-27 00:00:00 2.950
1337.630 1305.240 2015-02-28 00:00:00	 1334.700 2015-03-02 00:00:00 -2.930
1388.000 1324.680 2015-03-03 00:00:00	 1373.000 2015-03-04 00:00:00 -15.000
1348.230 1340.450 2015-03-05 00:00:00	 1323.400 2015-03-09 00:00:00 -24.830
1321.350 1342.920 2015-03-10 00:00:00	 1303.280 2015-03-11 00:00:00 -18.070
1309.530 1338.240 2015-03-12 00:00:00	 1291.180 2015-03-13 00:00:00 -18.350
1281.150 1329.070 2015-03-16 00:00:00	 1291.850 2015-03-17 00:00:00 10.700
1279.680 1322.440 2015-03-18 00:00:00	 1298.130 2015-03-19 00:00:00 18.450
1305.480 1317.780 2015-03-20 00:00:00	 1308.580 2015-03-23 00:00:00 3.100
1295.650 1309.320 2015-03-24 00:00:00	 1286.880 2015-03-25 00:00:00 -8.770
1256.550 1296.620 2015-03-26 00:00:00	 1257.400 2015-03-27 00:00:00 0.850
1282.080 1289.100 2015-03-30 00:00:00	 1276.980 2015-03-31 00:00:00 -5.100
1271.330 1284.490 2015-04-01 00:00:00	 1273.650 2015-04-06 00:00:00 2.320
1292.500 1284.050 2015-04-07 00:00:00	 1320.700 2015-04-08 00:00:00 28.200
1332.280 1289.870 2015-04-09 00:00:00	 1326.880 2015-04-10 00:00:00 -5.400
1327.750 1293.510 2015-04-13 00:00:00	 1313.880 2015-04-15 00:00:00 -13.870
1291.400 1293.590 2015-04-16 00:00:00	 1237.430 2015-04-17 00:00:00 -53.970
1214.400 1287.050 2015-04-20 00:00:00	 1213.530 2015-04-21 00:00:00 -0.870
1222.550 1279.660 2015-04-22 00:00:00	 1228.630 2015-04-23 00:00:00 6.080
1246.530 1274.440 2015-04-24 00:00:00	 1250.100 2015-04-27 00:00:00 3.570
1247.500 1269.540 2015-04-28 00:00:00	 1243.650 2015-04-29 00:00:00 -3.850
1231.850 1256.860 2015-04-30 00:00:00	 1240.780 2015-05-04 00:00:00 8.930
1258.930 1245.800 2015-05-05 00:00:00	 1231.530 2015-05-06 00:00:00 -27.400
1272.630 1238.570 2015-05-07 00:00:00	 1263.630 2015-05-08 00:00:00 -9.000
1278.000 1244.990 2015-05-11 00:00:00	 1261.450 2015-05-12 00:00:00 -16.550
1257.700 1250.920 2015-05-13 00:00:00	 1249.630 2015-05-14 00:00:00 -8.070
1255.580 1253.070 2015-05-15 00:00:00	 1260.200 2015-05-18 00:00:00 4.620
1256.350 1254.420 2015-05-19 00:00:00	 1278.530 2015-05-20 00:00:00 22.180
1277.750 1260.190 2015-05-21 00:00:00	 1308.950 2015-05-22 00:00:00 31.200
1300.500 1268.030 2015-05-25 00:00:00	 1304.430 2015-05-26 00:00:00 3.930
1307.630 1275.740 2015-05-27 00:00:00	 1304.750 2015-05-28 00:00:00 -2.880
1305.150 1280.610 2015-05-29 00:00:00	 1308.880 2015-06-01 00:00:00 3.730
1299.950 1287.020 2015-06-02 00:00:00	 1305.450 2015-06-03 00:00:00 5.500
1302.830 1294.380 2015-06-04 00:00:00	 1287.930 2015-06-05 00:00:00 -14.900
1288.730 1298.680 2015-06-08 00:00:00	 1280.830 2015-06-09 00:00:00 -7.900
1300.380 1300.460 2015-06-10 00:00:00	 1285.650 2015-06-11 00:00:00 -14.730
1252.900 1295.390 2015-06-12 00:00:00	 1252.400 2015-06-15 00:00:00 -0.500
1256.000 1287.990 2015-06-16 00:00:00	 1256.900 2015-06-17 00:00:00 0.900
1265.030 1281.700 2015-06-18 00:00:00	 1274.780 2015-06-19 00:00:00 9.750
1287.300 1277.670 2015-06-23 00:00:00	 1285.150 2015-06-24 00:00:00 -2.150
1275.000 1275.490 2015-06-25 00:00:00	 1296.400 2015-06-26 00:00:00 21.400
1296.450 1277.150 2015-06-29 00:00:00	 1275.480 2015-06-30 00:00:00 -20.970
1296.550 1276.150 2015-07-01 00:00:00	 1288.880 2015-07-02 00:00:00 -7.670
1301.950 1282.260 2015-07-03 00:00:00	 1316.650 2015-07-06 00:00:00 14.700
1308.130 1290.250 2015-07-07 00:00:00	 1297.550 2015-07-08 00:00:00 -10.580
1261.250 1291.610 2015-07-09 00:00:00	 1237.180 2015-07-10 00:00:00 -24.070
1249.750 1282.570 2015-07-14 00:00:00	 1272.880 2015-07-15 00:00:00 23.130
1270.100 1280.540 2015-07-16 00:00:00	 1282.200 2015-07-17 00:00:00 12.100
1289.580 1280.530 2015-07-20 00:00:00	 1280.700 2015-07-21 00:00:00 -8.880
1264.030 1277.620 2015-07-22 00:00:00	 1244.300 2015-07-23 00:00:00 -19.730
1252.580 1268.930 2015-07-24 00:00:00	 1248.530 2015-07-27 00:00:00 -4.050
1251.030 1261.350 2015-07-28 00:00:00	 1253.380 2015-07-29 00:00:00 2.350
1240.330 1261.010 2015-07-30 00:00:00	 1255.380 2015-07-31 00:00:00 15.050
1254.800 1261.420 2015-08-03 00:00:00	 1254.450 2015-08-04 00:00:00 -0.350
1273.580 1260.350 2015-08-05 00:00:00	 1286.650 2015-08-06 00:00:00 13.070
1276.030 1259.700 2015-08-07 00:00:00	 1286.050 2015-08-10 00:00:00 10.020
1302.100 1262.800 2015-08-11 00:00:00	 1335.850 2015-08-12 00:00:00 33.750
1317.800 1274.000 2015-08-13 00:00:00	 1351.600 2015-08-14 00:00:00 33.800
1342.380 1287.880 2015-08-17 00:00:00	 1370.450 2015-08-18 00:00:00 28.070
1366.800 1305.280 2015-08-19 00:00:00	 1343.430 2015-08-20 00:00:00 -23.370
1338.080 1317.520 2015-08-21 00:00:00	 1289.330 2015-08-24 00:00:00 -48.750
1283.580 1320.720 2015-08-25 00:00:00	 1288.380 2015-08-26 00:00:00 4.800
1287.330 1321.650 2015-08-27 00:00:00	 1285.430 2015-08-28 00:00:00 -1.900
1282.030 1320.180 2015-08-31 00:00:00	 1268.700 2015-09-01 00:00:00 -13.330
1295.900 1313.820 2015-09-02 00:00:00	 1302.800 2015-09-03 00:00:00 6.900
1273.730 1305.430 2015-09-04 00:00:00	 1269.880 2015-09-07 00:00:00 -3.850
1270.150 1291.340 2015-09-08 00:00:00	 1274.880 2015-09-09 00:00:00 4.730
1272.700 1281.770 2015-09-10 00:00:00	 1276.000 2015-09-11 00:00:00 3.300
1275.830 1280.270 2015-09-14 00:00:00	 1273.800 2015-09-15 00:00:00 -2.030
1275.180 1278.360 2015-09-16 00:00:00	 1275.630 2015-09-18 00:00:00 0.450
1275.530 1277.190 2015-09-21 00:00:00	 1263.400 2015-09-22 00:00:00 -12.130
1266.330 1274.700 2015-09-23 00:00:00	 1290.200 2015-09-24 00:00:00 23.870
1296.850 1275.450 2015-09-28 00:00:00	 1294.130 2015-09-29 00:00:00 -2.720
1294.030 1278.890 2015-09-30 00:00:00	 1322.300 2015-10-01 00:00:00 28.270
1350.000 1293.500 2015-10-06 00:00:00	 1326.980 2015-10-07 00:00:00 -23.020
1316.900 1300.230 2015-10-08 00:00:00	 1314.830 2015-10-09 00:00:00 -2.070
1296.300 1304.540 2015-10-12 00:00:00	 1299.280 2015-10-13 00:00:00 2.980
1241.850 1304.700 2015-10-14 00:00:00	 1233.880 2015-10-15 00:00:00 -7.970
1236.880 1298.570 2015-10-16 00:00:00	 1244.380 2015-10-19 00:00:00 7.500
1263.380 1292.630 2015-10-20 00:00:00	 1265.000 2015-10-21 00:00:00 1.620
1268.580 1286.720 2015-10-23 00:00:00	 1268.280 2015-10-26 00:00:00 -0.300
1265.550 1274.430 2015-10-27 00:00:00	 1264.550 2015-10-28 00:00:00 -1.000
1247.680 1265.030 2015-10-29 00:00:00	 1247.600 2015-10-30 00:00:00 -0.080
1258.680 1257.540 2015-11-02 00:00:00	 1271.730 2015-11-03 00:00:00 13.050
